,country,province,age,sex,RecoveryRate,Hospitalizations,NonHospitalizations,deceased
165,China,Jiangsu,45.5,0.5308641975308642,0.13271604938271606,0.0,0.11728395061728394,0.0
166,China,Jiangxi,44.53061224489796,0.5510204081632653,0.0,0.0,0.25,0.0
167,China,Jilin,44.666666666666664,0.5333333333333333,0.008333333333333333,0.0,0.24166666666666667,0.0
168,China,Liaoning,45.0,0.45454545454545453,0.011363636363636364,0.0,0.23863636363636365,0.0
169,China,Macau,58.0,0.42857142857142855,0.0,0.0,0.25,0.0
170,China,Ningxia,40.375,0.75,0.0,0.0,0.25,0.0
171,China,Ontario,44.0,0.0,0.0,0.0,0.25,0.0
172,China,Qinghai,38.95652173913044,0.5652173913043478,0.17391304347826086,0.0,0.07608695652173914,0.0
173,China,Shaanxi,44.88148148148148,0.6222222222222222,0.08518518518518518,0.0,0.1648148148148148,0.0
174,China,Shandong,45.47560975609756,0.5609756097560976,0.0,0.0,0.25,0.0
175,China,Shanghai,46.13157894736842,0.6842105263157895,0.0,0.0,0.25,0.0
176,China,Shanxi,34.166666666666664,0.6666666666666666,0.0,0.0,0.25,0.0
177,China,Sichuan,42.986486486486484,0.581081081081081,0.0,0.0,0.25,0.0
178,China,Tianjin,45.80769230769231,0.46153846153846156,0.0,0.0,0.25,0.0
179,China,Tibet,50.5,0.5,0.0,0.0,0.25,0.0
180,China,Xinjiang,42.26923076923077,0.6538461538461539,0.0,0.0,0.25,0.0
181,China,Yunnan,44.666666666666664,0.463768115942029,0.014492753623188406,0.0,0.23550724637681159,0.0
182,China,Zhejiang,47.039603960396036,0.5148514851485149,0.0049504950495049506,0.0,0.24504950495049505,0.0
183,Colombia,Amazonas,38.36318407960199,0.5562189054726369,0.0,0.0,0.25,0.0
184,Colombia,Antioquia,37.769832402234634,0.5787709497206703,0.0,0.0,0.25,0.0
185,Colombia,Arauca,32.5,0.5,0.0,0.0,0.25,0.0
186,Colombia,Archipielago de San Andres Providencia y Santa Catalina,34.86666666666667,0.6666666666666666,0.0,0.0,0.25,0.0
187,Colombia,Atlantico,38.67789244975557,0.5573058120586638,0.0,0.0,0.25,0.0
188,Colombia,Barranquilla,44.0,0.6,0.0,0.0,0.25,0.0
189,Colombia,Barranquilla DE,41.45420326223338,0.533249686323714,0.0,0.0,0.25,0.0
190,Colombia,Bogota,41.5,0.4,0.0,0.0,0.25,0.0
191,Colombia,Bogota DC,40.69006887358365,0.4994445678738058,0.0,0.0,0.25,0.0
192,Colombia,Bolivar,42.66304347826087,0.532608695652174,0.0,0.0,0.25,0.0
193,Colombia,Boyaca,41.801418439716315,0.4397163120567376,0.0,0.0,0.25,0.0
194,Colombia,Buenaventura DE,42.576719576719576,0.6190476190476191,0.0,0.0,0.25,0.0
195,Colombia,Caldas,41.10077519379845,0.4108527131782946,0.0,0.0,0.25,0.0
196,Colombia,Caqueta,34.473684210526315,0.5789473684210527,0.0,0.0,0.25,0.0
197,Colombia,Cartagena,53.5,0.5,0.0,0.0,0.25,0.0
198,Colombia,Cartagena DT y C,41.125145518044235,0.5436554132712457,0.0,0.0,0.25,0.0
199,Colombia,Casanare,38.18518518518518,0.5925925925925926,0.0,0.0,0.25,0.0
200,Colombia,Cauca,41.528301886792455,0.5094339622641509,0.0,0.0,0.25,0.0
201,Colombia,Cesar,38.723636363636366,0.46545454545454545,0.0,0.0,0.25,0.0
202,Colombia,Choco,36.86,0.508,0.0,0.0,0.25,0.0
203,Colombia,Cordoba,41.23972602739726,0.4041095890410959,0.0,0.0,0.25,0.0
204,Colombia,Cundinamarca,37.325524044389645,0.5166461159062885,0.0,0.0,0.25,0.0
205,Colombia,Guainia,41.0,0.6666666666666666,0.0,0.0,0.25,0.0
206,Colombia,Huila,41.95238095238095,0.5238095238095238,0.0,0.0,0.25,0.0
207,Colombia,La Guajira,38.14754098360656,0.5901639344262295,0.0,0.0,0.25,0.0
208,Colombia,Magdalena,42.05194805194805,0.5324675324675324,0.0,0.0,0.25,0.0
209,Colombia,Meta,38.05135135135135,0.8702702702702703,0.0,0.0,0.25,0.0
210,Colombia,Narino,40.12044534412956,0.5080971659919028,0.0,0.0,0.25,0.0
211,Colombia,Norte de Santander,40.8421052631579,0.5578947368421052,0.0,0.0,0.25,0.0
212,Colombia,Putumayo,45.875,0.5,0.0,0.0,0.25,0.0
213,Colombia,Quindio,42.69662921348315,0.5617977528089888,0.0,0.0,0.25,0.0
214,Colombia,Risaralda,37.7258883248731,0.47715736040609136,0.0,0.0,0.25,0.0
215,Colombia,Santa Marta,53.5,0.5,0.0,0.0,0.25,0.0
216,Colombia,Santa Marta DT y C,42.140221402214024,0.4797047970479705,0.0,0.0,0.25,0.0
217,Colombia,Santander,45.67256637168141,0.5132743362831859,0.0,0.0,0.25,0.0
218,Colombia,Sucre,40.6,0.5,0.0,0.0,0.25,0.0
219,Colombia,Tolima,36.404371584699454,0.6502732240437158,0.0,0.0,0.25,0.0
220,Colombia,Valle,44.642857142857146,0.5714285714285714,0.0,0.0,0.25,0.0
221,Colombia,Valle del Cauca,42.34485981308411,0.5051401869158878,0.0,0.0,0.25,0.0
222,Colombia,Vaupes,34.666666666666664,0.8333333333333334,0.0,0.0,0.25,0.0
223,Colombia,Vichada,20.0,1.0,0.0,0.0,0.25,0.0
224,Cuba,Artemisa,46.125,0.5,0.0,0.0,0.25,0.0
225,Cuba,Banes,59.0,0.0,0.0,0.0,0.25,0.0
226,Cuba,Baraguá,51.0,0.0,0.0,0.0,0.25,0.0
227,Cuba,Bauta,40.333333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
228,Cuba,Boyeros,36.0,0.0,0.0,0.0,0.25,0.0
229,Cuba,Cabaiguán,44.142857142857146,0.8571428571428571,0.0,0.0,0.25,0.0
230,Cuba,Camaguey,55.25,0.75,0.0,0.0,0.25,0.0
231,Cuba,Camagüey,38.2,0.52,0.0,0.0,0.25,0.0
232,Cuba,Camajuaní,12.5,0.5,0.0,0.0,0.25,0.0
233,Cuba,Cerro,55.25,0.5,0.0,0.0,0.25,0.0
234,Cuba,Ciego de Avila,55.857142857142854,0.5714285714285714,0.0,0.0,0.25,0.0
235,Cuba,Ciego de Ávila,39.46153846153846,0.4358974358974359,0.0,0.0,0.25,0.0
236,Cuba,Cienfuegos,39.125,0.5,0.0,0.0,0.25,0.0
237,Cuba,Contramaestre,20.0,0.0,0.0,0.0,0.25,0.0
238,Cuba,Cotorro,59.0,0.0,0.0,0.0,0.25,0.0
239,Cuba,Diez de Octubre,21.0,1.0,0.0,0.0,0.25,0.0
240,Cuba,Esmeralda,31.0,0.0,0.0,0.0,0.25,0.0
241,Cuba,Florencia,42.22222222222222,0.4444444444444444,0.0,0.0,0.25,0.0
242,Cuba,Florida,59.0,1.0,0.0,0.0,0.25,0.0
243,Cuba,Gibara,46.0,0.6666666666666666,0.0,0.0,0.25,0.0
244,Cuba,Granma,35.714285714285715,0.8571428571428571,0.0,0.0,0.25,0.0
245,Cuba,Guanabacoa,53.5,0.5,0.0,0.0,0.25,0.0
246,Cuba,Guantanamo,51.142857142857146,0.7142857142857143,0.0,0.0,0.25,0.0
247,Cuba,Guantánamo,31.8,0.4,0.0,0.0,0.25,0.0
248,Cuba,Habana Vieja,32.0,1.0,0.0,0.0,0.25,0.0
249,Cuba,Havana,46.09782608695652,0.5126811594202898,0.0,0.0,0.24954710144927536,0.0004528985507246377
250,Cuba,Hoguin,57.0,1.0,0.0,0.0,0.25,0.0
251,Cuba,Holguin,46.1578947368421,0.5263157894736842,0.0,0.0,0.25,0.0
252,Cuba,Holguín,45.225,0.625,0.0,0.0,0.25,0.0
253,Cuba,Isla de la Juventud,43.3,0.7,0.0,0.0,0.25,0.0
254,Cuba,Isle of Youth,51.57142857142857,0.2857142857142857,0.0,0.0,0.25,0.0
255,Cuba,Las Tunas,50.0,0.5,0.0,0.0,0.25,0.0
256,Cuba,Marianao,10.0,0.0,0.0,0.0,0.25,0.0
257,Cuba,Matanzas,45.875,0.45,0.0,0.0,0.25,0.0
258,Cuba,Mayabeque,34.0,0.48,0.0,0.0,0.25,0.0
259,Cuba,Morón,45.0,1.0,0.0,0.0,0.25,0.0
260,Cuba,Pinar del Rio,29.714285714285715,0.2857142857142857,0.0,0.0,0.25,0.0
261,Cuba,Pinar del Río,36.458333333333336,0.625,0.0,0.0,0.25,0.0
262,Cuba,Placeta,56.0,0.0,0.0,0.0,0.25,0.0
263,Cuba,Playa,45.0,0.3333333333333333,0.0,0.0,0.25,0.0
264,Cuba,San Cristóbal,25.0,0.0,0.0,0.0,0.25,0.0
265,Cuba,San Miguel del Padrón,37.0,1.0,0.0,0.0,0.25,0.0
266,Cuba,Sancti Spiritu,54.0,1.0,0.0,0.0,0.25,0.0
267,Cuba,Sancti Spiritus,50.0,0.2,0.0,0.0,0.25,0.0
268,Cuba,Sancti Spirítus,38.0,0.0,0.0,0.0,0.25,0.0
269,Cuba,Sancti Spíritus,38.875,0.53125,0.0,0.0,0.25,0.0
270,Cuba,Santa Clara,25.6,0.2,0.0,0.0,0.25,0.0
271,Cuba,Santiago de Cuba,38.9375,0.625,0.0,0.0,0.25,0.0
272,Cuba,Special,42.333333333333336,0.6666666666666666,0.0,0.0,0.25,0.0
273,Cuba,Venezuela,18.0,1.0,0.0,0.0,0.25,0.0
