,level_0,index,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,CaseFatality_Ratio
77,77,78,Kwilu,Mali,2020-09-20 04:22:56,17.570692,-3.996166000000001,3006,128,2349,529.0,Mali,14.843833098429425,4.258150365934797
78,78,79,كسلا,Malta,2020-09-20 04:22:56,35.9375,14.3754,2699,19,2017,663.0,Malta,611.2710315510068,0.7039644312708411
79,79,80,Lunda Sul,Mauritania,2020-09-20 04:22:56,21.0079,-10.9408,7365,161,6927,277.0,Mauritania,158.39867861305987,2.1860149355057708
80,80,81,المنطقة الشرقية,Moldova,2020-09-20 04:22:56,47.4116,28.3699,46336,1201,34236,10899.0,Moldova,1148.647124428261,2.5919371546961325
81,81,82,ሶማሌ ክልል / Somali,Monaco,2020-09-20 04:22:56,43.7333,7.4167,192,1,152,39.0,Monaco,489.24676383650996,0.5208333333333334
82,82,83,Katavi,Morocco,2020-09-20 04:22:56,31.7917,-7.0926,99816,1795,79008,19013.0,Morocco,270.4266892957836,1.7983088883545724
83,83,84,Mandoul ماندول,Niger,2020-09-20 04:22:56,17.607789,8.081666,1183,69,1104,10.0,Niger,4.887089639386488,5.832628909551986
84,84,85,Plateau,Nigeria,2020-09-20 04:22:56,9.082,8.6753,57145,1095,48431,7619.0,Nigeria,27.72150698060727,1.9161781433196248
85,85,86,منطقة مكة المكرمة,North Macedonia,2020-09-20 04:22:56,41.6086,21.7453,16557,689,13792,2076.0,North Macedonia,794.7181983123578,4.161381892854986
86,86,87,Klaipėdos apskritis,Oman,2020-09-20 04:22:56,21.512583,55.92325500000001,91753,818,84648,6287.0,Oman,1796.7454806719586,0.8915239828670453
87,87,88,المنطقة الشرقية,Poland,2020-09-20 04:22:56,51.9194,19.1451,78330,2282,63861,12187.0,Poland,206.9670449965063,2.9133154602323503
88,88,89,Волинська область,Qatar,2020-09-20 04:22:56,25.3548,51.1839,123146,209,120089,2848.0,Qatar,4274.329587026997,0.16971724619557274
89,89,90,Béni Abbès ⴰⵢⵜ ⴰⴱⴱⴰⵙ بني عباس,Rwanda,2020-09-20 04:22:56,-1.9403,29.8739,4689,26,2910,1753.0,Rwanda,36.20231884769617,0.5544892301130305
90,90,91,محافظة لحج,San Marino,2020-09-20 04:22:56,43.9424,12.4578,723,42,669,12.0,San Marino,2130.355353880606,5.809128630705394
91,91,92,Volta Region,Sao Tome and Principe,2020-09-20 04:22:56,0.1864,6.6131,908,15,876,17.0,Sao Tome and Principe,414.30729007442017,1.6519823788546255
92,92,93,Huíla,Senegal,2020-09-20 04:22:56,14.4974,-14.4524,14688,302,11153,3233.0,Senegal,87.72134140551232,2.056100217864924
93,93,94,Scotland,Seychelles,2020-09-20 04:22:56,-4.6796,55.492,141,0,136,5.0,Seychelles,143.38010982306284,0.0
94,94,95,المنطقة الشرقية,Slovakia,2020-09-20 04:22:56,48.669,19.699,6546,39,3519,2988.0,Slovakia,119.89794937141492,0.5957836846929423
95,95,96,محافظة شبوة,Slovenia,2020-09-20 04:22:56,46.1512,14.9955,4309,141,2981,1187.0,Slovenia,207.2698866533393,3.2722209329310745
96,96,97,Auvergne-Rhône-Alpes,Somalia,2020-09-20 04:22:56,5.152149,46.199616,3401,98,2812,491.0,Somalia,21.399063336382643,2.881505439576596
97,97,98,Ouargla ⵡⴰⵔⴳⵍⴰ ورقلة,South Sudan,2020-09-20 04:22:56,6.877000000000002,31.307,2642,49,1290,1303.0,South Sudan,23.602501007483745,1.854655563966692
98,98,99,الجبل الغربي,Sudan,2020-09-20 04:22:56,12.8628,30.2176,13535,836,6759,5940.0,Sudan,30.86710521901745,6.176579239009974
99,99,100,توجدير Togdheer,Switzerland,2020-09-20 04:22:56,46.8182,8.2275,49283,2045,40500,6738.0,Switzerland,569.4416553104942,4.149503885721241
100,100,101,ولاية النيل الأزرق,Tunisia,2020-09-20 04:22:56,33.886917,9.537499,9110,138,2366,6606.0,Tunisia,77.08177047434819,1.5148188803512623
101,101,102,محافظة حمص,Turkey,2020-09-20 04:22:56,38.9637,35.2433,301348,7445,266117,27786.0,Turkey,357.30535174167863,2.4705655919402147
102,102,103,El Bayadh ⵍⴱⴻⵢⴻⴹ البيض,Uganda,2020-09-20 04:22:56,1.373333,32.290275,6017,63,2581,3373.0,Uganda,13.154500338864475,1.047033405351504
103,103,104,województwo podlaskie,United Arab Emirates,2020-09-20 04:22:56,23.424076,53.847818,84242,404,73512,10326.0,United Arab Emirates,851.755237401925,0.4795707604282899
104,104,105,Архангельская область,Uzbekistan,2020-09-20 04:22:56,41.377491,64.585262,50992,427,47271,3294.0,Uzbekistan,152.35500556795515,0.8373862566677126
105,105,106,North-Western Province,Western Sahara,2020-09-20 04:22:56,24.2155,-12.8858,10,1,8,1.0,Western Sahara,1.674116485025028,10.0
106,106,108,Australian Capital Territory,Australia,2020-09-20 04:22:56,-35.4735,149.0124,113,3,110,0.0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
107,107,109,New South Wales,Australia,2020-09-20 04:22:56,-33.8688,151.2093,4200,53,2994,1153.0,"New South Wales, Australia",51.736881005173686,1.261904761904762
108,108,110,Northern Territory,Australia,2020-09-20 04:22:56,-12.4634,130.8456,33,0,31,2.0,"Northern Territory, Australia",13.436482084690551,0.0
109,109,111,Queensland,Australia,2020-09-20 04:22:56,-27.4698,153.0251,1152,6,1123,23.0,"Queensland, Australia",22.51979278662888,0.5208333333333334
110,110,112,South Australia,Australia,2020-09-20 04:22:56,-34.9285,138.6007,466,4,462,0.0,"South Australia, Australia",26.530031312268715,0.8583690987124464
111,111,113,Tasmania,Australia,2020-09-20 04:22:56,-42.8821,147.3272,230,13,217,0.0,"Tasmania, Australia",42.95051353874883,5.652173913043479
112,112,114,Victoria,Australia,2020-09-20 04:22:56,-37.8136,144.9631,20042,761,18379,902.0,"Victoria, Australia",302.2971688864085,3.7970262448857413
113,113,115,Western Australia,Australia,2020-09-20 04:22:56,-31.9505,115.8605,662,9,650,3.0,"Western Australia, Australia",25.165361514483386,1.3595166163141994
114,114,116,Acre,Brazil,2020-09-20 04:22:56,-9.0238,-70.812,27061,648,24298,2115.0,"Acre, Brazil",3068.366716367985,2.3945900003695355
115,115,117,Alagoas,Brazil,2020-09-20 04:22:56,-9.5713,-36.782,83950,2014,80658,1278.0,"Alagoas, Brazil",2515.463583907865,2.3990470518165576
116,116,118,Amapa,Brazil,2020-09-20 04:22:56,0.902,-52.003,46738,691,35026,11021.0,"Amapa, Brazil",5526.343482738601,1.4784543626171425
117,117,119,Amazonas,Brazil,2020-09-20 04:22:56,-3.4168,-65.8561,131573,3956,109874,17743.0,"Amazonas, Brazil",3174.566791415426,3.0066959026548
118,118,120,Bahia,Brazil,2020-09-20 04:22:56,-12.5797,-41.7007,294210,6221,280351,7638.0,"Bahia, Brazil",1978.1398103309448,2.1144760545188808
119,119,121,Ceara,Brazil,2020-09-20 04:22:56,-5.4984,-39.3206,233600,8801,206727,18072.0,"Ceara, Brazil",2558.0158207146287,3.7675513698630136
120,120,122,Distrito Federal,Brazil,2020-09-20 04:22:56,-15.7998,-47.8645,183096,3048,170627,9421.0,"Distrito Federal, Brazil",6072.296061245634,1.6647004849914802
121,121,123,Espirito Santo,Brazil,2020-09-20 04:22:56,-19.1834,-40.3089,123720,3408,113545,6767.0,"Espirito Santo, Brazil",3078.645813892725,2.7546071774975758
