,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,geom
224,,Guatemala,2020-09-20 04:22:56,15.7835,-90.2308,85152,3105,74497,7550.0,Guatemala,475.29614887432814,3.646420518602029,"-90.2308, 15.7835"
225,,Guinea,2020-09-20 04:22:56,9.9456,-9.6966,10286,63,9681,542.0,Guinea,78.32302529424055,0.612482986583706,"-9.6966, 9.9456"
226,,Guinea-Bissau,2020-09-20 04:22:56,11.8037,-15.1804,2303,39,1127,1137.0,Guinea-Bissau,117.02247664885842,1.6934433347807207,"-15.1804, 11.8037"
227,,Guyana,2020-09-20 04:22:56,4.860416000000002,-58.93018000000001,2168,64,1331,773.0,Guyana,275.6309444046791,2.9520295202952034,"-58.93018000000001, 4.860416000000002"
228,,Haiti,2020-09-20 04:22:56,18.9712,-72.2852,8600,221,6363,2016.0,Haiti,75.42183828803653,2.569767441860465,"-72.2852, 18.9712"
229,አፋር ክልል / Afar,Holy See,2020-09-20 04:22:56,41.9029,12.4534,12,0,12,0.0,Holy See,1483.3127317676144,0.0,"12.4534, 41.9029"
230,,Honduras,2020-09-20 04:22:56,15.2,-86.2419,71143,2166,21810,47167.0,Honduras,718.2818340715753,3.0445721996542177,"-86.2419, 15.2"
231,,Hungary,2020-09-20 04:22:56,47.1625,19.5033,16920,675,4382,11863.0,Hungary,175.14893352725315,3.9893617021276597,"19.5033, 47.1625"
232,,Iceland,2020-09-20 04:22:56,64.9631,-19.0208,2307,10,2116,181.0,Iceland,676.0439560439562,0.4334633723450369,"-19.0208, 64.9631"
270,,Indonesia,2020-09-20 04:22:56,-0.7893,113.9213,240687,9448,174350,56889.0,Indonesia,87.99495967479899,3.9254301229397517,"113.9213, -0.7893"
271,Могилёвская область,Iran,2020-09-20 04:22:56,32.427908,53.68804599999999,419043,24118,357632,37293.0,Iran,498.90256864763404,5.755495259436383,"53.68804599999999, 32.427908"
272,,Iraq,2020-09-20 04:22:56,33.223191,43.679291,315597,8491,249539,57567.0,Iraq,784.6279481910907,2.6904564999033576,"43.679291, 33.223191"
273,,Ireland,2020-09-20 04:22:56,53.1424,-7.6921,32538,1792,23364,7382.0,Ireland,658.957964241536,5.507406724445263,"-7.6921, 53.1424"
274,,Israel,2020-09-20 04:22:56,31.046051,34.851612,183602,1226,132449,49927.0,Israel,2121.2076749448706,0.6677487173342338,"34.851612, 31.046051"
296,,Jamaica,2020-09-20 04:22:56,18.1096,-77.2975,4758,60,1327,3371.0,Jamaica,160.68021968410363,1.2610340479192939,"-77.2975, 18.1096"
346,,Jordan,2020-09-20 04:22:56,31.24,36.51,4540,30,2672,1838.0,Jordan,44.49610610067096,0.6607929515418502,"36.51, 31.24"
347,Ненецкий автономный округ,Kazakhstan,2020-09-20 04:22:56,48.0196,66.9237,107262,1671,101877,3714.0,Kazakhstan,571.250326268605,1.557867651171897,"66.9237, 48.0196"
348,,Kenya,2020-09-20 04:22:56,-0.0236,37.9062,36829,646,23777,12406.0,Kenya,68.4919278499869,1.7540525129653262,"37.9062, -0.0236"
349,,"Korea, South",2020-09-20 04:22:56,35.90775700000001,127.766922,22975,383,20158,2434.0,"Korea, South",44.8124948665556,1.6670293797606093,"127.766922, 35.90775700000001"
350,منطقة مكة المكرمة,Kosovo,2020-09-20 04:22:56,42.602636,20.902977,12683,488,8788,3407.0,Kosovo,700.5765684949894,3.8476701095955215,"20.902977, 42.602636"
351,Одеська область,Kuwait,2020-09-20 04:22:56,29.31166,47.481766,99049,581,89498,8970.0,Kuwait,2319.342906310011,0.5865783602055549,"47.481766, 29.31166"
352,,Kyrgyzstan,2020-09-20 04:22:56,41.20438,74.766098,45335,1063,41484,2788.0,Kyrgyzstan,694.8754259340352,2.34476673651704,"74.766098, 41.20438"
353,,Laos,2020-09-20 04:22:56,19.85627,102.495496,23,0,22,1.0,Laos,0.3161270423868636,0.0,"102.495496, 19.85627"
