,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
315,Mexico,Puebla,29938,3916,25066,956.0,453.3003575921753,13.080366089919169
316,Mexico,Queretaro,8152,917,6702,533.0,357.60079345966034,11.248773307163882
317,Mexico,San Luis Potosi,21524,1531,19097,896.0,750.974655128741,7.112990150529642
318,Mexico,Sonora,23749,2827,20240,682.0,772.3892550439142,11.90365910143585
319,Mexico,Tabasco,30753,2745,27115,893.0,1195.5508852628031,8.925958443078724
320,Mexico,Tamaulipas,27645,2059,24678,908.0,757.2723622021792,7.448001446916258
321,Mexico,Veracruz,31680,4046,26543,1091.0,370.9661818891218,12.771464646464649
322,Mexico,Yucatan,17222,1506,14630,1086.0,762.3396594570047,8.74462896295436
323,Mexico,Zacatecas,6748,630,5518,600.0,404.9384731155178,9.336099585062241
324,Moldova,المنطقة الشرقية,46336,1201,34236,10899.0,1148.647124428261,2.5919371546961325
325,Monaco,ሶማሌ ክልል / Somali,192,1,152,39.0,489.24676383650996,0.5208333333333334
326,Morocco,Katavi,99816,1795,79008,19013.0,270.4266892957836,1.7983088883545724
327,Netherlands,Aruba,3460,23,2128,1309.0,3240.7320682614313,0.6647398843930635
328,Netherlands,"Bonaire, Sint Eustatius and Saba",36,1,17,18.0,137.294534914763,2.7777777777777777
329,Netherlands,Curacao,247,1,88,158.0,150.51797684338817,0.4048582995951417
330,Netherlands,Drenthe,722,41,0,681.0,146.2479895965419,5.678670360110804
331,Netherlands,Flevoland,1762,97,0,1665.0,416.52778467262857,5.505107832009081
